,Year,Month,Day,height_cm,weight_kg,wage_usd,wage_usd,release_clause_usd,team_position,contract_valid_until
0,2004.0,7.0,1.0,170,72,599200.0,599200.0,148088000.0,CAM,2021.0
1,2018.0,7.0,10.0,187,83,235400.0,235400.0,81213000.0,LS,2022.0
2,2014.0,7.0,16.0,188,87,133750.0,133750.0,170558000.0,GK,2023.0
3,2014.0,7.0,1.0,184,80,256800.00000000003,256800.00000000003,141240000.0,ST,2023.0
4,2017.0,8.0,3.0,175,68,288900.0,288900.0,178155000.0,LW,2022.0
5,2015.0,8.0,30.0,181,70,395900.0,395900.0,172270000.0,RCM,2023.0
6,2018.0,7.0,1.0,178,73,171200.0,171200.0,217317000.0,LS,2022.0
7,2014.0,7.0,1.0,187,85,278200.0,278200.0,158039000.0,GK,2022.0
8,2018.0,1.0,1.0,193,92,224700.0,224700.0,155471000.0,LCB,2023.0
9,2018.0,7.0,19.0,191,91,171200.0,171200.0,128721000.00000001,GK,2024.0
10,2016.0,7.0,1.0,175,69,267500.0,267500.0,154401000.0,LW,2023.0
11,2017.0,7.0,1.0,175,71,267500.0,267500.0,154401000.0,RW,2023.0
12,2018.0,8.0,9.0,199,96,267500.0,267500.0,127330000.0,GK,2024.0
13,2011.0,7.0,28.0,173,70,321000.0,321000.0,104967000.0,SUB,2021.0
14,2005.0,8.0,1.0,184,82,321000.0,321000.0,53714000.0,LCB,2021.0
15,2009.0,7.0,9.0,185,81,374500.0,374500.0,116309000.0,CF,2022.0
16,2011.0,7.0,1.0,193,92,133750.0,133750.0,51253000.0,GK,2023.0
17,2013.0,7.0,11.0,185,84,331700.0,331700.0,130540000.00000001,CDM,2023.0
18,2017.0,7.0,1.0,188,86,208650.0,208650.0,110210000.0,GK,2024.0
19,2015.0,7.0,14.0,170,69,288900.0,288900.0,149372000.0,LW,2023.0
20,2015.0,7.0,1.0,176,73,155150.0,155150.0,119947000.0,RDM,2023.0
21,2010.0,7.0,1.0,188,89,235400.0,235400.0,150014000.0,ST,2024.0
22,2015.0,7.0,1.0,177,75,203300.0,203300.0,131075000.00000001,RS,2022.0
23,2012.0,7.0,1.0,193,92,107000.0,107000.0,28248000.0,GK,2021.0
24,2014.0,7.0,17.0,183,76,331700.0,331700.0,120696000.0,LCM,2023.0
25,2019.0,7.0,1.0,175,74,374500.0,374500.0,127223000.0,LW,2024.0
26,2014.0,7.0,1.0,187,89,149800.0,149800.0,90950000.0,LCB,2023.0
27,2016.0,7.0,16.0,168,70,203300.0,203300.0,103683000.0,RDM,2023.0
28,2017.0,8.0,31.0,180,76,87740.0,87740.0,141347000.0,RS,2023.0
29,2015.0,10.0,7.0,180,69,117700.0,117700.0,123585000.0,RB,2024.0
30,2020.0,1.0,30.0,179,69,208650.0,208650.0,133108000.00000001,CAM,2025.0
31,2018.0,1.0,30.0,189,85,214000.0,214000.0,115346000.0,LCB,2024.0
32,2018.0,7.0,1.0,188,78,165850.0,165850.0,112243000.0,CDM,2023.0
33,2017.0,7.0,21.0,178,64,165850.0,165850.0,109140000.0,LB,2024.0
34,2017.0,7.0,1.0,173,64,246100.0,246100.0,123585000.0,LCM,2025.0
35,2005.0,7.0,1.0,187,85,100580.0,100580.0,27392000.0,LCB,2021.0
36,2012.0,8.0,31.0,188,82,133750.0,133750.0,54891000.0,GK,2022.0
37,2014.0,7.0,11.0,182,86,299600.0,299600.0,69122000.0,SUB,2021.0
38,2012.0,8.0,1.0,172,66,278200.0,278200.0,53714000.0,RCM,2021.0
39,2015.0,8.0,6.0,180,69,171200.0,171200.0,77254000.0,RW,2021.0
40,2017.0,7.0,19.0,195,90,112350.0,112350.0,60027000.0,GK,2024.0
41,2018.0,1.0,31.0,187,80,181900.0,181900.0,91485000.0,LW,2021.0
42,2008.0,9.0,1.0,189,76,256800.00000000003,256800.00000000003,83353000.0,SUB,2023.0
43,2016.0,7.0,27.0,185,85,133750.0,133750.0,88275000.0,RS,2025.0
44,2019.0,9.0,2.0,185,80,117700.0,117700.0,53500000.0,GK,2023.0
45,2019.0,7.0,12.0,176,73,310300.0,310300.0,110745000.0,ST,2024.0
46,2015.0,8.0,28.0,183,78,176550.0,176550.0,106786000.0,LM,2023.0
47,2015.0,7.0,6.0,181,76,203300.0,203300.0,102934000.0,CF,2023.0
48,2011.0,7.0,1.0,191,81,235400.0,235400.0,105716000.0,RCB,2022.0
49,2016.0,8.0,9.0,191,84,203300.0,203300.0,105716000.0,RDM,2021.0
50,2012.0,7.0,18.0,165,60,144450.0,144450.0,103041000.0,LCM,2024.0
51,2014.0,9.0,2.0,167,68,107000.0,107000.0,62809000.0,LF,2022.0
52,2008.0,7.0,1.0,194,85,235400.0,235400.0,46117000.0,RCB,2022.0
53,2020.0,8.0,17.0,173,67,62060.0,62060.0,50611000.0,CAM,2022.0
54,2014.0,7.0,1.0,183,79,58850.0,58850.0,51895000.0,GK,2023.0
55,2019.0,7.0,1.0,191,94,99510.0,99510.0,60027000.0,CB,2022.0
56,2011.0,6.0,9.0,182,80,149800.0,149800.0,72225000.0,RCM,2023.0
57,2012.0,7.0,1.0,170,68,235400.0,235400.0,70192000.0,LB,2024.0
58,2008.0,8.0,10.0,186,75,139100.0,139100.0,74151000.0,CAM,2023.0
59,2011.0,7.0,1.0,192,82,160500.0,160500.0,64093000.0,GK,2023.0
60,2013.0,7.0,5.0,173,73,246100.0,246100.0,83353000.0,RB,2022.0
61,2012.0,5.0,1.0,179,74,171200.0,171200.0,56924000.0,ST,2023.0
62,2020.0,9.0,4.0,188,83,112350.0,112350.0,128079000.0,RM,2025.0
63,2015.0,7.0,1.0,196,90,36380.0,36380.0,84423000.0,GK,2021.0
64,2019.0,7.0,18.0,189,89,85600.0,85600.0,98012000.0,SUB,2024.0
65,2014.0,7.0,1.0,186,70,160500.0,160500.0,119091000.0,LM,2023.0
66,2020.0,7.0,15.0,183,75,107000.0,107000.0,95016000.0,LM,2025.0
67,2019.0,7.0,1.0,180,74,203300.0,203300.0,114811000.0,LCM,2024.0
68,2013.0,7.0,19.0,183,75,123050.0,123050.0,90629000.0,RCB,2024.0
69,2018.0,7.0,12.0,186,81,203300.0,203300.0,101222000.0,LCB,2023.0
70,2015.0,8.0,6.0,191,76,100580.0,100580.0,93090000.0,RCM,2023.0
71,2017.0,7.0,7.0,188,80,139100.0,139100.0,82176000.0,LCB,2023.0
72,2017.0,1.0,20.0,176,78,123050.0,123050.0,102506000.0,RS,2021.0
73,2020.0,7.0,1.0,180,76,144450.0,144450.0,104646000.0,ST,2025.0
74,2019.0,7.0,4.0,191,82,155150.0,155150.0,90629000.0,CDM,2024.0
75,2018.0,7.0,1.0,190,82,112350.0,112350.0,70834000.0,GK,2023.0
76,2017.0,7.0,1.0,175,75,107000.0,107000.0,87633000.0,RM,2023.0
77,2018.0,6.0,9.0,175,70,128400.00000000001,128400.00000000001,85600000.0,SUB,2023.0
78,2019.0,8.0,8.0,191,94,176550.0,176550.0,83032000.0,RS,2024.0
79,2016.0,8.0,31.0,183,74,105930.0,105930.0,83567000.0,LCM,2022.0
80,2020.0,6.0,8.0,181,75,144450.0,144450.0,92662000.0,RS,2024.0
81,2020.0,7.0,1.0,181,65,149800.0,149800.0,92983000.0,SUB,2025.0
82,2020.0,8.0,28.0,183,79,99510.0,99510.0,23433000.0,SUB,2021.0
83,2013.0,7.0,1.0,169,61,123050.0,123050.0,43656000.0,ST,2022.0
84,2020.0,8.0,24.0,178,72,235400.0,235400.0,77896000.0,RCM,2024.0
85,2016.0,7.0,22.0,175,69,160500.0,160500.0,73295000.0,LCM,2021.0
86,2019.0,7.0,1.0,187,78,144450.0,144450.0,25573000.0,RCB,2022.0
87,2015.0,7.0,8.0,186,81,139100.0,139100.0,57994000.0,RCB,2023.0
88,2018.0,8.0,2.0,190,85,117700.0,117700.0,31779000.0,CB,2024.0
89,2015.0,7.0,1.0,191,86,69550.0,69550.0,47294000.0,GK,2023.0
90,2012.0,7.0,1.0,180,71,100580.0,100580.0,61846000.0,RCM,2023.0
91,2017.0,7.0,14.0,183,70,181900.0,181900.0,60348000.0,RB,2024.0
92,2020.0,9.0,18.0,174,70,160500.0,160500.0,73295000.0,SUB,2024.0
93,2020.0,8.0,12.0,182,74,63130.00000000001,63130.00000000001,74151000.0,RCM,2024.0
94,2020.0,1.0,28.0,181,76,165850.0,165850.0,68908000.0,CAM,2024.0
95,2015.0,8.0,21.0,180,80,128400.00000000001,128400.00000000001,55640000.0,SUB,2023.0
96,2011.0,1.0,1.0,176,77,98440.0,98440.0,83353000.0,RCM,2024.0
97,2010.0,7.0,1.0,163,59,128400.00000000001,128400.00000000001,68266000.0,LW,2022.0
98,2018.0,7.0,10.0,179,67,224700.0,224700.0,74258000.0,RW,2023.0
99,2020.0,1.0,1.0,194,88,59920.0,59920.0,91485000.0,LS,2024.0
100,2018.0,7.0,5.0,174,81,139100.0,139100.0,88061000.0,LS,2023.0
101,2014.0,7.0,1.0,181,79,50290.0,50290.0,104646000.0,LW,2024.0
102,2017.0,7.0,1.0,195,97,89880.0,89880.0,69229000.0,SUB,2022.0
103,2020.0,9.0,1.0,171,73,104860.0,104860.0,75649000.0,SUB,2024.0
104,2018.0,7.0,1.0,189,76,112350.0,112350.0,72867000.0,LDM,2022.0
105,2016.0,1.0,4.0,171,69,21400.0,21400.0,78859000.0,LB,2023.0
106,2015.0,9.0,1.0,184,76,165850.0,165850.0,86670000.0,ST,2024.0
107,2019.0,7.0,1.0,185,83,80250.0,80250.0,76933000.0,SUB,2024.0
108,2015.0,8.0,30.0,179,75,100580.0,100580.0,74793000.0,SUB,2023.0
109,2013.0,7.0,1.0,185,80,74900.0,74900.0,81855000.0,RCB,2023.0
110,2015.0,1.0,14.0,190,93,19260.0,19260.0,47401000.0,GK,2022.0
111,2017.0,1.0,5.0,183,74,102720.0,102720.0,77147000.0,CDM,2024.0
112,2013.0,7.0,1.0,184,76,82390.0,82390.0,87526000.0,LM,2026.0
113,2015.0,7.0,1.0,187,85,71690.0,71690.0,47508000.0,GK,2023.0
114,2018.0,7.0,1.0,189,78,139100.0,139100.0,56282000.0,CB,2023.0
115,2018.0,8.0,1.0,178,74,117700.0,117700.0,66554000.00000001,LB,2023.0
116,2016.0,7.0,1.0,170,71,92020.0,92020.0,69336000.0,LM,2023.0
117,2015.0,7.0,1.0,185,77,86670.0,86670.0,79608000.0,LCM,2023.0
118,2016.0,7.0,13.0,181,71,24610.0,24610.0,68801000.0,LB,2021.0
119,2016.0,7.0,1.0,181,68,133750.0,133750.0,59064000.0,LCM,2022.0
120,2013.0,7.0,1.0,179,67,117700.0,117700.0,18832000.0,RCB,2021.0
121,2017.0,7.0,28.0,172,60,46010.0,46010.0,24717000.0,RB,2021.0
122,2011.0,6.0,1.0,189,89,96300.0,96300.0,34561000.0,GK,2023.0
123,2017.0,6.0,27.0,192,80,57780.0,57780.0,30923000.0,GK,2022.0
124,2017.0,7.0,18.0,179,78,88810.0,88810.0,27285000.0,CDM,2022.0
125,2018.0,8.0,17.0,186,81,84530.0,84530.0,42800000.0,CDM,2022.0
126,2018.0,6.0,18.0,190,84,96300.0,96300.0,38627000.0,GK,2022.0
127,2012.0,8.0,24.0,178,77,128400.00000000001,128400.00000000001,49862000.0,RB,2022.0
128,2018.0,7.0,1.0,172,70,128400.00000000001,128400.00000000001,53821000.0,SUB,2022.0
129,2015.0,7.0,1.0,176,67,49220.0,49220.0,56175000.0,ST,2023.0
130,2015.0,8.0,31.0,173,62,26750.0,26750.0,69550000.0,RB,2022.0
131,2019.0,7.0,30.0,174,66,112350.0,112350.0,50504000.0,RCM,2023.0
132,2010.0,2.0,10.0,180,78,112350.0,112350.0,48578000.0,LCB,2021.0
133,2013.0,7.0,3.0,176,79,224700.0,224700.0,69122000.0,SUB,2022.0
134,2013.0,7.0,30.0,177,72,26750.0,26750.0,63130000.0,CAM,2023.0
135,2019.0,8.0,14.0,170,68,97370.0,97370.0,63023000.0,ST,2024.0
136,2017.0,7.0,5.0,190,79,98440.0,98440.0,45475000.0,RF,2022.0
137,2019.0,7.0,1.0,188,81,149800.0,149800.0,63023000.0,ST,2023.0
138,2019.0,7.0,1.0,190,83,79180.0,79180.0,50504000.0,LCB,2022.0
139,2018.0,1.0,5.0,172,65,28890.0,28890.0,41195000.0,LB,2022.0
140,2016.0,7.0,22.0,182,78,144450.0,144450.0,86670000.0,SUB,2025.0
141,2015.0,4.0,29.0,178,68,144450.0,144450.0,86670000.0,SUB,2023.0
142,2017.0,8.0,28.0,178,67,187250.0,187250.0,85493000.0,RW,2022.0
143,2012.0,9.0,13.0,172,66,49220.0,49220.0,70941000.0,LB,2023.0
144,2012.0,8.0,9.0,193,78,60990.0,60990.0,48471000.0,GK,2022.0
145,2019.0,7.0,10.0,189,77,55640.0,55640.0,48471000.0,GK,2024.0
146,2015.0,6.0,20.0,188,77,99510.0,99510.0,63879000.0,RCB,2024.0
147,2020.0,1.0,29.0,178,78,112350.0,112350.0,72867000.0,SUB,2025.0
148,2019.0,7.0,1.0,180,73,171200.0,171200.0,69336000.0,LB,2025.0
149,2019.0,6.0,29.0,183,72,123050.0,123050.0,64414000.00000001,RB,2024.0
150,2020.0,9.0,9.0,181,73,98440.0,98440.0,64628000.00000001,RM,2025.0
151,2015.0,8.0,11.0,188,78,54570.0,54570.0,57031000.0,LCB,2022.0
152,2015.0,2.0,2.0,188,80,112350.0,112350.0,71904000.0,SUB,2024.0
153,2020.0,9.0,2.0,184,74,133750.0,133750.0,69764000.0,SUB,2025.0
154,2017.0,7.0,1.0,190,80,48150.0,48150.0,57887000.0,RDM,2022.0
155,2016.0,8.0,3.0,175,73,160500.0,160500.0,71048000.0,ST,2023.0
156,2016.0,7.0,12.0,182,75,181900.0,181900.0,64842000.00000001,SUB,2023.0
157,2019.0,7.0,1.0,176,80,128400.00000000001,128400.00000000001,66554000.00000001,SUB,2024.0
158,2019.0,8.0,7.0,182,74,149800.0,149800.0,57673000.0,SUB,2025.0
159,2017.0,7.0,14.0,177,67,181900.0,181900.0,63665000.0,RB,2022.0
160,2015.0,1.0,21.0,197,86,56710.0,56710.0,42693000.0,GK,2024.0
161,2011.0,7.0,1.0,184,81,73830.0,73830.0,46545000.0,GK,2023.0
162,2014.0,7.0,1.0,178,76,78110.0,78110.0,58850000.0,LDM,2022.0
163,2019.0,7.0,1.0,185,86,41730.0,41730.0,62809000.0,LCB,2024.0
164,2019.0,7.0,2.0,189,83,89880.0,89880.0,46545000.0,RCB,2024.0
165,2016.0,7.0,1.0,194,90,123050.0,123050.0,52537000.0,SUB,2024.0
166,2018.0,8.0,31.0,170,67,101650.0,101650.0,52537000.0,RES,2021.0
167,2019.0,7.0,23.0,173,75,40660.0,40660.0,70941000.0,RM,2023.0
168,2020.0,1.0,2.0,195,95,52430.0,52430.0,17334000.0,ST,2021.0
169,2018.0,7.0,24.0,170,61,117700.0,117700.0,30495000.0,LCM,2022.0
170,2017.0,7.0,11.0,185,82,29960.0,29960.0,14231000.0,GK,2024.0
171,2020.0,9.0,18.0,186,89,18190.0,18190.0,32956000.000000004,ST,2021.0
172,2016.0,1.0,8.0,186,86,35310.0,35310.0,33384000.000000004,LCM,2021.0
173,2018.0,1.0,1.0,177,77,18190.0,18190.0,36166000.0,ST,2022.0
174,2020.0,8.0,13.0,180,75,14980.0,14980.0,20116000.0,LDM,2021.0
175,2020.0,8.0,14.0,189,86,22470.0,22470.0,25680000.0,LCB,2023.0
177,2007.0,1.0,1.0,174,75,181900.0,181900.0,35096000.0,SUB,2022.0
178,2018.0,7.0,1.0,176,65,133750.0,133750.0,35310000.0,RES,2022.0
179,2020.0,8.0,22.0,174,71,58850.0,58850.0,35524000.0,LCM,2023.0
180,2015.0,7.0,1.0,193,80,86670.0,86670.0,24610000.0,ST,2022.0
181,2020.0,9.0,22.0,180,75,133750.0,133750.0,26536000.0,SUB,2022.0
182,2018.0,7.0,2.0,181,80,37450.0,37450.0,46117000.0,SUB,2022.0
183,2019.0,7.0,12.0,183,76,41730.0,41730.0,38199000.0,CDM,2022.0
184,2019.0,7.0,17.0,173,71,75970.0,75970.0,47187000.0,RB,2022.0
185,2016.0,7.0,1.0,180,80,171200.0,171200.0,49541000.0,SUB,2023.0
186,2019.0,1.0,15.0,183,80,41730.0,41730.0,37664000.0,LDM,2023.0
187,2017.0,1.0,1.0,179,66,26750.0,26750.0,44512000.0,LCM,2024.0
188,2019.0,8.0,7.0,189,88,37450.0,37450.0,33705000.0,GK,2024.0
189,2018.0,1.0,6.0,172,68,203300.0,203300.0,57031000.0,SUB,2023.0
190,2009.0,8.0,1.0,170,66,43870.0,43870.0,60669000.0,CAM,2024.0
191,2018.0,7.0,1.0,192,82,67410.0,67410.0,31886000.0,GK,2023.0
192,2017.0,7.0,5.0,176,77,133750.0,133750.0,52858000.0,ST,2022.0
193,2018.0,7.0,23.0,182,78,33170.0,33170.0,41623000.0,GK,2023.0
194,2015.0,2.0,2.0,180,66,87740.0,87740.0,54891000.0,LS,2023.0
195,2015.0,8.0,13.0,171,70,83460.0,83460.0,35524000.0,RDM,2023.0
196,2018.0,7.0,3.0,181,76,32100.000000000004,32100.000000000004,35203000.0,ST,2023.0
197,2013.0,7.0,1.0,178,68,187250.0,187250.0,48257000.0,SUB,2022.0
198,2018.0,7.0,11.0,192,88,80250.0,80250.0,30067000.0,CB,2023.0
199,2020.0,9.0,5.0,175,74,123050.0,123050.0,50825000.0,CDM,2023.0
200,2018.0,1.0,31.0,174,70,128400.00000000001,128400.00000000001,54891000.0,RM,2024.0
201,2019.0,7.0,1.0,175,71,83460.0,83460.0,49113000.0,SUB,2024.0
202,2019.0,7.0,7.0,167,66,53500.0,53500.0,58422000.0,RW,2024.0
203,2018.0,7.0,16.0,180,68,133750.0,133750.0,51895000.0,LDM,2023.0
204,2011.0,8.0,16.0,172,63,63130.00000000001,63130.00000000001,49862000.0,RM,2021.0
205,2018.0,7.0,2.0,180,77,59920.0,59920.0,60669000.0,RS,2023.0
206,2019.0,5.0,17.0,184,82,48150.0,48150.0,49113000.0,LM,2023.0
207,2020.0,1.0,17.0,189,88,93090.0,93090.0,47294000.0,ST,2023.0
208,2016.0,8.0,31.0,172,66,24610.0,24610.0,57780000.0,RM,2024.0
209,2018.0,6.0,9.0,190,80,50290.0,50290.0,33598000.0,GK,2025.0
210,2020.0,9.0,14.0,172,69,43870.0,43870.0,49434000.0,SUB,2024.0
211,2019.0,1.0,1.0,177,75,52430.0,52430.0,52858000.0,RW,2023.0
212,2020.0,9.0,19.0,178,68,90950.0,90950.0,61846000.0,SUB,2025.0
213,2018.0,7.0,5.0,189,70,74900.0,74900.0,60990000.0,RCM,2023.0
214,2019.0,7.0,1.0,182,76,74900.0,74900.0,48899000.0,SUB,2024.0
215,2017.0,7.0,8.0,180,80,95230.0,95230.0,61311000.0,RCM,2023.0
216,2020.0,7.0,27.0,177,68,101650.0,101650.0,61311000.0,CAM,2025.0
218,2018.0,8.0,8.0,186,88,81320.0,81320.0,44405000.0,GK,2024.0
219,2015.0,8.0,18.0,191,91,33170.0,33170.0,45475000.0,GK,2022.0
220,2015.0,7.0,1.0,182,76,171200.0,171200.0,65912000.00000001,SUB,2023.0
221,2017.0,7.0,1.0,180,72,56710.0,56710.0,49434000.0,RDM,2023.0
222,2019.0,8.0,5.0,194,100,128400.00000000001,128400.00000000001,50718000.0,LCB,2024.0
223,2019.0,1.0,1.0,190,80,38520.0,38520.0,49327000.0,CAM,2022.0
224,2014.0,12.0,13.0,171,70,69550.0,69550.0,63665000.0,RM,2024.0
225,2020.0,9.0,4.0,189,84,37450.0,37450.0,46545000.0,GK,2024.0
226,2019.0,8.0,1.0,183,73,104860.0,104860.0,59171000.0,RW,2024.0
227,2019.0,7.0,1.0,184,74,69550.0,69550.0,62488000.0,SUB,2024.0
228,2018.0,7.0,1.0,188,77,21400.0,21400.0,37129000.0,GK,2022.0
229,2020.0,2.0,18.0,186,86,77040.0,77040.0,50290000.0,RCB,2024.0
230,2015.0,8.0,7.0,186,81,29960.0,29960.0,45368000.0,GK,2023.0
231,2018.0,7.0,16.0,192,85,32100.000000000004,32100.000000000004,43014000.0,GK,2022.0
232,2020.0,7.0,1.0,190,84,78110.0,78110.0,59171000.0,RS,2023.0
233,2017.0,8.0,18.0,185,72,49220.0,49220.0,48899000.0,RCB,2022.0
234,2016.0,7.0,20.0,200,76,63130.00000000001,63130.00000000001,39055000.0,GK,2023.0
235,2019.0,7.0,3.0,188,84,42800.0,42800.0,61632000.0,LW,2024.0
236,2017.0,7.0,4.0,191,86,51360.0,51360.0,43656000.0,RCB,2022.0
237,2017.0,7.0,24.0,178,72,41730.0,41730.0,50076000.0,RCB,2023.0
238,2017.0,7.0,1.0,196,81,34240.0,34240.0,35096000.0,GK,2022.0
239,2019.0,7.0,4.0,192,92,43870.0,43870.0,3852000.0,SUB,2021.0
240,2019.0,7.0,4.0,187,74,43870.0,43870.0,17976000.0,RCB,2022.0
241,2020.0,9.0,1.0,184,78,41730.0,41730.0,38199000.0,LCM,2024.0
242,2013.0,9.0,2.0,180,71,107000.0,107000.0,39697000.0,RES,2021.0
